Measurement time,Number of CPUs cores,CPU 0 freq,CPU 1 freq,CPU 2 freq,CPU 3 freq,Free RAM,Used RAM,Total RAM,Free Swap,Used Swap,Total Swap,CPU load (1m),CPU load (5m),CPU load (15m),Number of processes,Number of bytes received,Number of bytes sent,Number of packets received,Number of packets sent
s,N/A,kHz,kHz,kHz,kHz,kB,kB,kB,kB,kB,kB,%,%,%,N/A,bytes,bytes,N/A,N/A
1570564303.6516044,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564304.6530595,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564305.6523235,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564306.6523051,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564307.652519,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564308.6530733,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564309.6531181,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564310.6528366,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,6.0
1570564311.6523173,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,4.0
1570564312.652783,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602640.0,3538872.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
